shipment-date	currency	item-promotion-discount	item-promotion-id	description	promotion-rule-value	amazon-order-id	shipment-id	shipment-item-id
2026-03-11T00:00:00-07:00	USD	19.99	30618988401	Auto-generated promotion for Amazon Vine enrollment	70	sample-e26857ff2dce298cf008	sample-a8c8707ad9b7ada06a88	sample-61f93916fbfd18bc0f5b
2026-03-11T00:00:00-07:00	USD	19.99	30618988401	Auto-generated promotion for Amazon Vine enrollment	70	sample-dac86c2c352a185922a9	sample-316c2b2c8e7f28eac6bc	sample-84942ae46e89e7e8e866
2026-03-11T00:00:00-07:00	USD	19.99	30618988401	Auto-generated promotion for Amazon Vine enrollment	70	sample-fe58006cbbf37c97d848	sample-b0d3d04148681e402ae2	sample-f7ec752dcdbaa839d80b
2026-03-11T00:00:00-07:00	USD	19.99	30618988401	Auto-generated promotion for Amazon Vine enrollment	70	sample-c9e8c0c694d379328a49	sample-0934687434dbbc9daab0	sample-d749f74c53bb6330e311
2026-03-11T00:00:00-07:00	USD	19.99	30618988401	Auto-generated promotion for Amazon Vine enrollment	70	sample-281f629f4812fbb15335	sample-5866ce77cbfbc07d3588	sample-48f2c9ae413bcc089eff
2026-03-11T00:00:00-07:00	USD	19.99	30618988401	Auto-generated promotion for Amazon Vine enrollment	70	sample-b73172455d2f1edd6450	sample-4d766e7ae6b35ef3ca40	sample-6d856ae300a5a6ea28b4
2026-03-11T00:00:00-07:00	USD	19.99	30618988401	Auto-generated promotion for Amazon Vine enrollment	70	sample-ec5f14a909efeae5acdd	sample-b413df3bb84cfcb0581f	sample-857b2156d593d179db70
2026-03-11T00:00:00-07:00	USD	19.99	30618988401	Auto-generated promotion for Amazon Vine enrollment	70	sample-b53da8640c579a81771d	sample-cda4cc66037aebffa99d	sample-45186cb78da2ff6ed3c4
2026-03-11T00:00:00-07:00	USD	19.99	30618988401	Auto-generated promotion for Amazon Vine enrollment	70	sample-675f4db5063b66f36155	sample-c118b758d6aeb1633b18	sample-d6ef2bf470afae720801
2026-03-11T00:00:00-07:00	USD	19.99	30618988401	Auto-generated promotion for Amazon Vine enrollment	70	sample-9f6653de87e99b73baac	sample-4dba196bb74962f13111	sample-76d6832df5d7ff1bb6a5
2026-03-11T00:00:00-07:00	USD	19.99	30618988401	Auto-generated promotion for Amazon Vine enrollment	70	sample-83f9559f506946ce8d3f	sample-272a835906d81d7c326b	sample-691fdda8199b5edf8f31
2026-03-11T00:00:00-07:00	USD	19.99	30618988401	Auto-generated promotion for Amazon Vine enrollment	70	sample-89239ee1a7569a4c3a46	sample-393b0e908cc2d736d32b	sample-72f549e6311c96f38ddd
2026-03-11T00:00:00-07:00	USD	19.99	30618988401	Auto-generated promotion for Amazon Vine enrollment	70	sample-f64157f29f44a0b3362f	sample-aa2feeab252e3c224f75	sample-add786a7d4bfa01df89b
2026-03-11T00:00:00-07:00	USD	19.99	30618988401	Auto-generated promotion for Amazon Vine enrollment	70	sample-ee1facaae03a5bfba881	sample-076c47bb18edafe317ea	sample-76854429674f49bd03c1
2026-03-10T00:00:00-07:00	USD	0.21	29821996301	Nagle Item Discount Promotion US Jan 2026	59	sample-5b9963ee04280e8f61bb	sample-9f078bcc92dbb7c04e36	sample-e329aa174dd0d2ed88c1
